"headline"	"Body ID"	"wrongClass"
"CPWD official sack for absence from duty for 25 year"	"1318"	"wrongClass"
"Apple : Citi see $ 550 and $ 950 Apple Watches , Accessory Plethora"	"2414"	"unrelated"
"body in Mexico Mass grave apparently not those of miss student"	"324"	"unrelated"
"man cut off manhood , throw it in the bin , after girlfriend leave over small penis"	"1379"	"unrelated"
"Nicaragua Meteorite Impact Theory May be meteor-wrong"	"2475"	"wrongClass"
"rumor Fatigue Sets in at False alarm of Castro 's death"	"2399"	"wrongClass"
"dump woman spend a week in KFC to get over ex"	"1097"	"unrelated"
"ISIS kill 300 iraqi soldier with chlorine gas : SHIA MP"	"2489"	"unrelated"
"unconfirmed report claim Canadian-Israeli Gill Rosenberg capture by isis"	"513"	"unrelated"
"watch US Marine get shoot in head by Taliban sniper - and live to tell tale"	"2267"	"wrongClass"
"Kayla Jean Mueller , U.S. hostage , kill in Jordan airstrike , ISIS claim"	"493"	"unrelated"
"break udpated : ISIS REPORTEDLY USE CHEMICAL WEAPONS in KOBANE"	"639"	"unrelated"
"dog DO go to heaven ... and cat , and horse : Pope assure young boy that there be a place in paradise for animal as well"	"686"	"unrelated"
"accountant claim Comcast Got he fire from he Job for Reporting a customer Service Issue"	"2149"	"unrelated"
"incredible Video show a US Marine survive be Shot in the Head by a Sniper in Afghanistan"	"2046"	"wrongClass"
"Nicaragua Meteorite Impact Theory May be meteor-wrong"	"860"	"unrelated"
"`` Axl Rose dead 2014 '' : gun n ' Roses frontman kill by internet death hoax"	"2166"	"wrongClass"
"rcmp release security footage of Michael Zehaf Bibeau during attack , say he shoot soldier in back"	"2214"	"wrongClass"
"Macaulay Culkin Victim of another Online Death Hoax"	"759"	"wrongClass"
"CNN Plays Alleged Audiotape of Michael Brown ShootingMilitarization of Police"	"1818"	"wrongClass"
"mexican investigator fear mass grave might hold 43 miss student"	"2334"	"wrongClass"
"` hairgate ' : iPhone hit by new social media storm"	"526"	"unrelated"
"now that be a Royal trip ! Alan Titchmarsh find psychedelic mushroom in the Queen 's garden at Buckingham Palace"	"1184"	"unrelated"
"ISIS pay tribute to its ` cub of Baghdadi ' child soldier"	"1261"	"unrelated"
"Tiger Woods ' former luxury island go on sale"	"236"	"unrelated"
"CNN Posts Alleged Audio of Michael Brown shooting"	"944"	"wrongClass"
"a soldier have be shoot at Canada 's war memorial just step away from the nation 's parliament"	"2344"	"unrelated"
"small meteorite strike Nicaragua , government say"	"812"	"unrelated"
"Bosnia : seven underage girl return from five day school trip , pregnant"	"313"	"unrelated"
"' I abort my baby because it be a boy ' : outrage after ` feminist ' blogger claim gender prompt termination"	"2213"	"unrelated"
"someone Spraypainted A Penis on a # 1.5 m Bugatti Veyron and it go very viral"	"822"	"unrelated"
"american hostage in Yemen free in military raid-Defence Ministry"	"56"	"unrelated"
"so , there Might be a rat infestation at Vogue"	"2277"	"unrelated"
"shocking moment show ` adulteress ' strip naked and beat in busy shopping centre"	"1131"	"unrelated"
"the Guy who say a Spider Burrowed under he skin ? expert say ..."	"2042"	"wrongClass"
"now the Vogue Rats be chew through couture"	"639"	"unrelated"
"no , it be not Tiger Woods sell a island in Lake Mälaren"	"2508"	"unrelated"
"Woman detain in Lebanon be not al-Baghdadi 's wife , Iraq say"	"788"	"unrelated"
"weaponize Ebola ? ISIS Militants Said to Contract Deadly virus"	"225"	"unrelated"
"insurgent kill in Nigeria despite alleged truce with Boko Haram"	"459"	"unrelated"
"Report : Secret Service lie about White House Fence Jumper"	"663"	"wrongClass"
"anyone for dog meat soup ? Kim Jong-Un consider open restaurant in Scotland sell north korean delicacy"	"1806"	"unrelated"
"satirical news site attack China 's weird English name"	"2260"	"wrongClass"
"be Kim Jong-Un really open a Restaurant in Scotland ?"	"1339"	"unrelated"
"Video : Marine survive Taliban sniper headshot thanks to helmet"	"1180"	"wrongClass"
"north korean leader Kim Jong-un not miss , just have ankle surgery"	"493"	"wrongClass"
"Sugarhill gang rapper Big Bank Hank dead at 57"	"944"	"unrelated"
"ISIS release YouTube Video show 10-year-old ` martyr ' allegedly kill in battle"	"1931"	"unrelated"
"Amazon.com to open first physical store in Manhattan : DJ"	"1369"	"unrelated"
"unconfirmed report say ISIS UK Hostage David Haines Beheaded"	"737"	"unrelated"
